PLR_ID;SocialIndex
01100101;2
01100102;1
01100103;2
01100104;2
01100205;2
01100206;2
01100207;2
01100308;1
01100309;2
01100310;2
01100311;2
01100312;2
01100313;2
01100414;1
01100415;1
01100416;1
01200517;3
01200518;3
01200519;2
01200520;2
01200521;3
01200522;2
01200623;2
01200624;1
01200625;3
01200626;2
01200627;4
01200628;2
01200629;2
01300730;4
01300731;4
01300732;4
01300733;3
01300834;3
01300835;2
01300836;4
01400937;2
01400938;2
01400939;2
01400940;3
01400941;2
01400942;2
01401043;4
01401044;4
01401045;4
01401046;2
01401047;2
01401048;3
01401049;4
02100101;3
02100102;4
02100103;3
02100104;3
02100105;4
02100106;4
02200207;1
02200208;2
02200209;2
02200210;2
02200211;2
02200212;2
02200213;2
02300314;3
02300315;2
02300316;2
02300417;2
02300418;2
02300419;2
02400520;2
02400521;2
02400522;2
02400623;2
02400624;2
02400625;2
02500726;2
02500727;2
02500728;2
02500729;2
02500830;2
02500831;2
02500832;2
02500833;2
02500834;2
02500835;2
02500836;1
03100101;2
03100102;2
03100103;3
03200204;1
03200205;1
03200206;2
03200207;2
03200308;1
03200309;2
03200310;2
03300411;2
03300412;1
03300413;1
03300514;1
03300515;2
03300516;1
03300517;2
03400618;1
03400619;2
03400620;1
03400721;2
03400722;1
03400723;2
03400724;2
03400725;2
03400826;2
03400827;2
03400828;2
03400829;2
03400830;2
03400831;2
03500932;2
03500933;2
03500934;2
03500935;2
03500936;2
03501037;2
03501038;2
03601139;2
03601140;2
03601141;2
03601142;2
03601243;2
03601244;2
03601245;2
03601346;2
03601347;2
03601348;2
03601449;3
03601450;4
03601451;2
03601452;2
03601453;1
03701554;2
03701555;2
03701556;1
03701657;2
03701658;2
03701659;2
03701660;2
04100101;3
04100102;4
04200203;2
04200204;2
04200205;2
04200206;2
04200207;1
04200308;2
04200309;2
04200310;2
04200311;2
04300412;2
04300413;2
04300414;2
04300415;2
04300416;2
04300517;2
04300518;2
04300619;2
04300620;2
04300621;2
04300622;2
04300623;2
04300624;2
04400725;2
04400726;2
04400727;2
04400728;2
04400729;2
04400830;2
04400831;1
04400832;1
04400833;2
04400834;1
04400835;2
04500936;2
04500937;2
04500938;2
04500939;2
04501040;2
04501041;2
04501042;2
04501043;2
04501044;2
04501045;2
04501146;2
04501147;2
04501148;2
04501149;2
04501150;2
04501151;2
04501152;2
04501153;2
05100101;1
05100102;2
05100103;2
05100104;2
05100105;2
05100206;2
05100207;1
05100208;3
05100209;3
05100210;4
05100211;2
05100312;3
05100313;2
05100314;4
05100315;3
05100316;3
05100317;3
05200418;1
05200419;2
05200420;2
05200421;2
05200422;2
05200423;4
05200524;1
05200525;1
05200526;4
05200527;4
05200528;2
05200629;2
05200630;2
05200631;3
05200632;3
05200633;3
05200634;2
05300735;2
05300736;2
05300737;3
05300838;2
05300839;3
05300840;2
05300841;2
05400942;1
05400943;1
05400944;1
05400945;1
06100101;1
06100102;2
06100103;1
06100204;2
06100205;2
06100206;2
06100207;2
06100208;2
06100209;2
06100210;2
06200311;2
06200312;1
06200313;2
06200314;2
06200315;2
06200316;2
06200317;2
06200418;2
06200419;2
06200420;2
06200421;2
06200422;1
06200423;2
06300524;2
06300525;2
06300526;2
06300527;2
06300528;1
06300629;2
06300630;2
06300631;1
06300632;1
06300633;2
06300634;1
06400735;1
06400736;1
06400737;1
06400838;1
06400839;1
06400840;1
06400841;2
06400842;1
06400843;1
06400844;1
07100101;2
07100102;2
07100103;2
07100204;2
07100205;3
07100206;2
07200307;2
07200308;2
07200409;2
07200410;3
07200411;2
07200412;2
07200413;2
07200414;2
07300515;1
07300516;1
07300517;2
07300618;2
07300619;2
